player,market,line,best_price,book,model_p_over,fair_p_over,edge,quarter_kelly_stake_dollars,ev_vs_best_price,kelly_full,kelly_fractional,fair_method,fair_source,fair_over_multiplicative_consensus,fair_over_power_consensus,hold_mean,best_over_implied_raw,n_books,odds_game_id,game_date_et,player_id,model_p_status
Olivia Miles,player_points,18.5,102.0,fanduel,0.5692,0.4842904696932385,0.08490953030676152,3.6711764705882386,0.14978400000000014,0.14684705882352955,0.03671176470588239,multiplicative,consensus,0.4842904696932385,0.48275699504367764,0.06593820579162187,0.49504950495049505,9,409b5df2946c7913e77a1c509e505fdb,2026-08-24,4433791,ok
Caitlin Clark,player_points,23.5,102.0,betonlineag,0.5404,0.4776384847503439,0.06276151524965612,2.245294117647059,0.09160800000000002,0.08981176470588237,0.022452941176470592,multiplicative,consensus,0.4776384847503439,0.4753479544055444,0.06786998936077765,0.49504950495049505,12,bc3a81f7e77e90a0c34cd5cda709243d,2026-08-23,4433403,ok
Arike Ogunbowale,player_points,17.5,-112.0,betonlineag,0.5526,0.5007258774331685,0.05187412256683144,1.2877999999999976,0.04599285714285706,0.051511999999999905,0.012877999999999976,multiplicative,consensus,0.5007258774331685,0.5008206711521049,0.06794684597269829,0.5283018867924528,12,df428ab65c7800c0b0bc4773de724cb3,2026-08-23,3904577,ok
Paige Bueckers,player_points,21.5,-123.0,draftkings,0.5592,0.5151002657646775,0.04409973423532254,0.4254000000000014,0.01383414634146346,0.017016000000000055,0.004254000000000014,multiplicative,consensus,0.5151002657646775,0.5167538389805905,0.0708002759572266,0.5515695067264574,3,df428ab65c7800c0b0bc4773de724cb3,2026-08-23,4433730,ok
Paige Bueckers,player_points,20.5,-132.0,fanduel,0.582,0.5384786052011274,0.043521394798872515,0.7559999999999972,0.022909090909090823,0.03023999999999989,0.007559999999999972,multiplicative,consensus,0.5384786052011276,0.5423737642268439,0.06564477863032019,0.5689655172413793,9,df428ab65c7800c0b0bc4773de724cb3,2026-08-23,4433730,ok
Natasha Howard,player_points,12.5,-115.0,draftkings,0.5358,0.5068395721276828,0.02896042787231723,0.0,0.0017130434782609005,0.001970000000000036,0.000492500000000009,multiplicative,consensus,0.5068395721276828,0.5075214061977129,0.06651556134167606,0.5348837209302325,9,409b5df2946c7913e77a1c509e505fdb,2026-08-24,2529130,ok
Nneka Ogwumike,player_points,14.5,-102.0,fanduel,0.5,0.47760635648347033,0.02239364351652967,0.0,-0.009803921568627416,0.0,0.0,multiplicative,consensus,0.47760635648347033,0.4753082990126548,0.06719204682231099,0.504950495049505,9,6be5d7c309d85e0d9d1c237ac81f414c,2026-08-24,1068,ok
A'ja Wilson,player_points,26.5,-106.0,fanduel,0.4952,0.4887407213228795,0.0064592786771204835,0.0,-0.037630188679245336,0.0,0.0,multiplicative,consensus,0.4887407213228794,0.48760674931381714,0.06686626887519598,0.5145631067961165,9,efc616f676575f27e95d18e9ea20a747,2026-08-23,3149391,ok
Cecilia Zandalasini,player_points,8.5,104.0,fanduel,0.4598,0.46516513325107106,-0.005365133251071075,0.0,-0.06200800000000001,0.0,0.0,multiplicative,consensus,0.46516513325107106,0.46164104458818694,0.06608611265793625,0.49019607843137253,9,409b5df2946c7913e77a1c509e505fdb,2026-08-24,4257500,ok
A'ja Wilson,player_points,27.5,-107.0,draftkings,0.477,0.48287533242001773,-0.005875332420017754,0.0,-0.07720560747663552,0.0,0.0,multiplicative,consensus,0.48287533242001773,0.4810091269893863,0.07047964113181493,0.5169082125603864,3,efc616f676575f27e95d18e9ea20a747,2026-08-23,3149391,ok
Carla Leite,player_points,15.5,-105.0,draftkings,0.4676,0.47794265089231996,-0.010342650892319949,0.0,-0.08706666666666668,0.0,0.0,multiplicative,consensus,0.47794265089231996,0.47549523736149757,0.07166648758998617,0.5121951219512195,3,4329aee135ac130aa177b8dfb7b3ffac,2026-08-23,5208982,ok
Courtney Vandersloot,player_points,9.5,-102.0,fanduel,0.4598,0.4735298908617039,-0.013729890861703897,0.0,-0.0894156862745098,0.0,0.0,multiplicative,consensus,0.4735298908617039,0.47082505196940394,0.06635400382143475,0.504950495049505,3,bc3a81f7e77e90a0c34cd5cda709243d,2026-08-23,981,ok
Courtney Williams,player_points,12.5,-121.0,draftkings,0.4914,0.5186797168090441,-0.02727971680904412,0.0,-0.10248429752066113,0.0,0.0,multiplicative,consensus,0.5186797168090442,0.5205923782549293,0.06714648950861009,0.5475113122171946,9,409b5df2946c7913e77a1c509e505fdb,2026-08-24,2987891,ok
Sonia Citron,player_points,15.5,-130.0,fanduel,0.5004,0.5290847604576107,-0.028684760457610703,0.0,-0.11467692307692318,0.0,0.0,multiplicative,consensus,0.5290847604576107,0.5321424389933059,0.06830230570711804,0.5652173913043478,12,4329aee135ac130aa177b8dfb7b3ffac,2026-08-23,4433524,ok
Shakira Austin,player_points,17.5,-110.0,fanduel,0.4684,0.499466374436901,-0.031066374436901023,0.0,-0.10578181818181825,0.0,0.0,multiplicative,consensus,0.499466374436901,0.4994241869871568,0.06746705513738865,0.5238095238095238,12,4329aee135ac130aa177b8dfb7b3ffac,2026-08-23,4398911,ok
